specimen_id	image_path	box_id	rank	prompt_class	prompt_group	confidence	bbox_xyxy	area_fraction	center_x	center_y	aspect_ratio	is_text	is_auxiliary	duplicate_of	is_duplicate_suppressed	text_seed	auxiliary_seed
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0240	240	barcode label	text	0.01721366	[3097, 4538, 3409, 4595]	0.0007938439065583586	0.9181484617555744	0.7222046496916021	5.473684210526316	True	False	Y0271	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0241	241	type specimen label	text	0.01708272	[910, 5640, 1505, 5756]	0.003080921414229527	0.34081287044877223	0.9011545152617428	5.129310344827586	True	False	Y0248	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0242	242	colour chart	auxiliary	0.01706879	[1823, 6011, 3474, 6300]	0.021298576683049294	0.7475303415184872	0.9735094100901471	5.71280276816609	False	True	Y0084	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0243	243	color calibration chart	auxiliary	0.01695208	[2240, 5671, 3491, 5795]	0.006924440067530298	0.8087778718600056	0.9066898624070853	10.088709677419354	False	True	Y0231	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0244	244	annotation label	text	0.0169486	[934, 5642, 1493, 5934]	0.007286187200838267	0.34250635055038103	0.9153882650640519	1.9143835616438356	True	False	Y0234	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0245	245	color calibration chart	auxiliary	0.01684545	[2210, 5624, 3490, 5793]	0.0096561130154467	0.8044030482641829	0.9028151194053455	7.57396449704142	False	True		False	False	True
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0246	246	barcode label	text	0.01684433	[2240, 5671, 3491, 5795]	0.006924440067530298	0.8087778718600056	0.9066898624070853	10.088709677419354	True	False	Y0263	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0247	247	catalog number	text	0.01679995	[400, 3649, 1068, 4117]	0.013954940252131145	0.20716906576347727	0.6141072275818441	1.4273504273504274	True	False	Y0001	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0248	248	catalog number	text	0.0167806	[910, 5640, 1505, 5756]	0.003080921414229527	0.34081287044877223	0.9011545152617428	5.129310344827586	True	False		False	True	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0249	249	printed label	text	0.01669287	[1998, 6224, 2250, 6292]	0.0007649184200845722	0.5994919559695173	0.9897200695872213	3.7058823529411766	True	False		False	True	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0250	250	ruler	auxiliary	0.01666726	[3052, 5053, 3427, 5384]	0.0055407037169116205	0.9143381315269545	0.825320259370552	1.1329305135951662	False	True	Y0015	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0251	251	barcode label	text	0.01663798	[2403, 3392, 3369, 3544]	0.006554300972097217	0.8145639288738358	0.5484738257156413	6.355263157894737	True	False	Y0204	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0252	252	annotation label	text	0.01650542	[2210, 5624, 3490, 5793]	0.0096561130154467	0.8044030482641829	0.9028151194053455	7.57396449704142	True	False	Y0288	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0253	253	annotation label	text	0.01644437	[152, 6117, 441, 6273]	0.002012463938555839	0.08368614168783517	0.979756444725605	1.8525641025641026	True	False		False	True	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0254	254	color calibration chart	auxiliary	0.01644275	[2090, 3337, 3531, 4911]	0.10124518416317117	0.7932543042619249	0.6522220464969161	0.9155019059720457	False	True		False	False	True
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0255	255	catalog number	text	0.01643141	[2233, 104, 2675, 249]	0.002860855598927418	0.6926333615580017	0.027913964890083822	3.0482758620689654	True	False	Y0138	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0256	256	printed label	text	0.0163116	[2189, 4367, 3430, 4584]	0.012020905448967965	0.7929720575783235	0.7078127471137119	5.71889400921659	True	False	Y0149	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0257	257	database label	text	0.0162976	[1841, 5856, 2071, 5930]	0.0007597404009009932	0.5520745131244708	0.9319943065000791	3.108108108108108	True	False		False	True	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0258	258	annotation label	text	0.01627735	[2427, 3432, 3138, 3544]	0.0035546208933341884	0.7853513971210838	0.5516368812272655	6.348214285714286	True	False	Y0088	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0259	259	printed label	text	0.01621957	[2875, 3635, 3375, 3711]	0.0016962476635862362	0.8820208862545865	0.5808951447097896	6.578947368421052	True	False		False	True	False
